                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3859,                0.96301,                 2.0676,                0.99578,                0.99513,                0.99496,                0.61635,                 1.2667,                0.75865,                 1.9809,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3202,                0.92982,                 2.0053,                      1,                0.99957,                  0.995,                0.62483,                 1.2459,                0.75146,                 1.9054,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.284,                0.91673,                 1.9506,                0.99579,                0.99578,                  0.995,                0.65341,                 1.2721,                0.70093,                 1.9426,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.296,                0.90566,                  1.984,                 0.9985,                0.99578,                  0.995,                0.69231,                 1.1321,                 0.7196,                 1.8066,                0.00101,                0.00101,                0.00101
                     52,                 1.2668,                0.86329,                 1.9799,                0.99903,                      1,                  0.995,                0.68191,                  1.168,                0.74019,                 1.8769,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2753,                0.86915,                 1.9681,                0.99904,                      1,                  0.995,                0.69879,                 1.0809,                0.62031,                 1.7709,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3266,                0.87462,                 1.9902,                0.99955,                0.99578,                  0.995,                0.70089,                 1.0955,                0.59216,                 1.7809,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.285,                0.87354,                  1.963,                      1,                0.99971,                  0.995,                0.70589,                 1.1203,                0.57341,                 1.7984,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2691,                0.86385,                 1.9538,                0.99969,                      1,                  0.995,                0.70949,                 1.1357,                0.56912,                 1.8248,               0.000911,               0.000911,               0.000911
                     57,                 1.2877,                0.85392,                 1.9864,                0.99936,                0.99578,                  0.995,                0.67646,                 1.2029,                0.54445,                 1.9047,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2693,                0.83206,                 1.9522,                      1,                0.99999,                  0.995,                 0.7082,                 1.0628,                0.55286,                 1.7264,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2073,                0.79743,                 1.9117,                0.99982,                      1,                  0.995,                0.69364,                 1.1169,                 0.5658,                 1.7685,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2409,                0.81455,                 1.9127,                0.99954,                0.99578,                  0.995,                0.66682,                 1.1537,                0.57256,                 1.8155,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2043,                0.79987,                 1.9002,                      1,                0.99542,                  0.995,                0.69177,                 1.1283,                0.56615,                 1.7821,               0.000812,               0.000812,               0.000812
                     62,                 1.2075,                0.80978,                 1.9027,                0.99965,                      1,                  0.995,                  0.701,                 1.0828,                0.59191,                 1.7381,              0.0007922,              0.0007922,              0.0007922
