                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2582,                 0.8466,                 1.7009,                0.98208,                0.98992,                0.99414,                0.69326,                 1.1335,                0.54065,                 1.7794,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2232,                0.82361,                 1.6857,                0.97633,                0.98646,                0.99394,                0.72966,                 1.0283,                0.50852,                 1.6774,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2053,                 0.8288,                 1.6741,                0.98417,                 0.9842,                0.99426,                0.70112,                 1.0956,                0.54928,                  1.752,                0.00101,                0.00101,                0.00101
                     52,                 1.1609,                0.77622,                 1.6596,                0.98618,                0.97968,                 0.9939,                0.70852,                 1.0631,                0.51349,                 1.7108,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2115,                0.82106,                 1.6779,                0.98201,                0.98561,                0.99415,                0.68593,                 1.1083,                0.52887,                  1.759,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1966,                0.78119,                 1.6739,                0.98636,                0.97946,                0.99448,                0.68617,                 1.1405,                0.52009,                 1.7895,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.159,                0.77301,                 1.6525,                0.97993,                0.99194,                0.99445,                0.72072,                 1.0348,                0.53035,                 1.6881,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.148,                0.74737,                 1.6244,                0.97933,                0.99323,                0.99401,                 0.7174,                  1.034,                0.49348,                 1.6779,               0.000911,               0.000911,               0.000911
                     57,                 1.1965,                0.80034,                 1.6556,                0.98436,                0.99462,                0.99382,                0.72804,                 1.0139,                0.47736,                 1.6526,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1787,                0.81015,                 1.6561,                0.98213,                0.98871,                0.99367,                0.68834,                  1.136,                  0.521,                 1.7807,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1598,                0.80859,                 1.6369,                0.98354,                0.99549,                0.99417,                0.71958,                  1.018,                0.49342,                  1.663,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1688,                 0.7858,                 1.6442,                0.98393,                0.98646,                0.99413,                0.72242,                 1.0427,                 0.4949,                 1.6895,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1534,                0.78089,                 1.6615,                0.99303,                0.97743,                0.99427,                0.69774,                 1.1056,                0.50948,                 1.7595,               0.000812,               0.000812,               0.000812
                     62,                 1.1587,                0.75175,                 1.6535,                0.98435,                0.99549,                0.99428,                0.71199,                 1.0489,                0.49543,                 1.6891,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1502,                0.73019,                 1.6278,                0.99697,                0.99549,                0.99457,                 0.7248,                 1.0111,                0.47268,                 1.6401,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1413,                0.74018,                 1.6083,                0.99362,                0.98871,                0.99475,                0.70805,                 1.0455,                0.50501,                  1.675,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1595,                0.77065,                 1.6298,                0.98943,                0.99097,                0.99454,                0.72751,                 1.0175,                0.48986,                 1.6556,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0988,                0.71839,                 1.5822,                0.99101,                0.99481,                0.99456,                0.72032,                 1.0072,                0.47381,                 1.6479,               0.000713,               0.000713,               0.000713
                     67,                 1.1245,                0.73912,                 1.6119,                 0.9865,                0.99774,                0.99466,                0.72458,                 0.9841,                 0.4721,                 1.6234,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1699,                0.76582,                 1.6281,                0.98829,                      1,                0.99463,                0.72038,                 1.0057,                0.46882,                 1.6368,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1171,                0.71391,                 1.6031,                0.98647,                0.98742,                0.99402,                 0.7199,                  1.032,                0.47015,                   1.67,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1204,                0.73573,                 1.6039,                0.98418,                0.99097,                0.99411,                0.71808,                 1.0288,                0.47058,                 1.6595,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1216,                0.72409,                 1.5907,                0.98878,                0.99503,                0.99457,                0.73575,                 1.0037,                0.45999,                 1.6301,               0.000614,               0.000614,               0.000614
                     72,                 1.1645,                0.72233,                 1.6181,                0.99077,                      1,                0.99463,                0.73719,                0.99218,                0.46538,                 1.6265,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1167,                0.68739,                 1.5856,                0.99041,                      1,                0.99463,                0.73021,                  1.012,                0.45289,                 1.6421,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1042,                0.70362,                 1.5826,                0.98752,                0.99774,                0.99448,                0.73639,                0.97112,                0.44474,                 1.6124,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.134,                 0.7298,                  1.597,                0.99242,                      1,                0.99448,                0.72579,                 1.0204,                0.44192,                 1.6639,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0956,                0.69214,                 1.5737,                 0.9886,                      1,                0.99437,                0.72083,                 1.0404,                0.45024,                 1.6719,               0.000515,               0.000515,               0.000515
                     77,                 1.0921,                 0.6808,                  1.557,                0.99103,                0.99803,                0.99453,                0.73177,                0.97287,                0.43127,                 1.6092,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0815,                0.66494,                 1.5538,                0.99209,                      1,                0.99427,                 0.7225,                 1.0044,                0.43505,                 1.6373,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0759,                0.68201,                  1.563,                0.98821,                      1,                0.99444,                0.74274,                 0.9644,                0.42503,                 1.5933,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.082,                0.69199,                  1.557,                0.99296,                      1,                0.99458,                0.74506,                0.93901,                0.42875,                 1.5683,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0867,                0.67006,                 1.5728,                0.98937,                0.99774,                0.99437,                0.73889,                0.97565,                0.44193,                  1.611,               0.000416,               0.000416,               0.000416
                     82,                 1.0939,                0.65683,                 1.5542,                0.98883,                0.99949,                 0.9943,                0.74062,                0.93994,                 0.4249,                 1.5635,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0785,                0.67249,                 1.5647,                0.99065,                      1,                 0.9942,                0.73571,                0.97019,                0.42985,                 1.6033,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0685,                0.66319,                 1.5569,                0.99259,                      1,                0.99449,                0.73782,                0.95393,                0.42547,                 1.5921,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0478,                0.67143,                 1.5337,                0.99039,                0.99774,                 0.9944,                0.74364,                0.95507,                0.42456,                 1.5913,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0494,                0.66045,                 1.5338,                0.98881,                0.99741,                0.99445,                 0.7421,                0.94796,                0.41367,                 1.5741,               0.000317,               0.000317,               0.000317
                     87,                 1.0579,                0.65567,                 1.5379,                0.98743,                      1,                0.99412,                0.73813,                0.95515,                0.42196,                 1.5852,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0496,                0.66539,                 1.5384,                0.99178,                0.99549,                0.99443,                0.74111,                 0.9493,                0.41228,                 1.5712,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0719,                0.66209,                 1.5623,                0.99325,                0.99718,                0.99454,                0.74609,                0.93972,                 0.4087,                 1.5727,              0.0002576,              0.0002576,              0.0002576
                     90,                0.96063,                0.52306,                 1.5738,                0.99407,                0.99774,                0.99457,                0.74122,                0.96351,                0.42332,                 1.5929,              0.0002378,              0.0002378,              0.0002378
                     91,                0.94402,                0.45919,                 1.5633,                0.99402,                0.99774,                0.99445,                0.74968,                0.94833,                0.41348,                 1.5811,               0.000218,               0.000218,               0.000218
                     92,                0.94761,                 0.4523,                 1.5452,                0.99448,                0.99774,                0.99432,                0.74866,                 0.9491,                 0.4085,                 1.5712,              0.0001982,              0.0001982,              0.0001982
                     93,                0.93042,                 0.4513,                 1.5724,                0.99173,                0.99774,                0.99435,                0.75019,                0.93509,                0.40648,                 1.5599,              0.0001784,              0.0001784,              0.0001784
                     94,                0.92385,                0.43176,                 1.4995,                0.99213,                0.99774,                0.99447,                0.74751,                0.92913,                0.41048,                 1.5564,              0.0001586,              0.0001586,              0.0001586
                     95,                0.93257,                 0.4338,                 1.5666,                0.99549,                0.99744,                0.99435,                0.75462,                0.91822,                0.40115,                  1.543,              0.0001388,              0.0001388,              0.0001388
                     96,                0.93328,                0.43967,                 1.5515,                0.99424,                0.99774,                0.99448,                0.76085,                 0.9067,                0.39629,                 1.5312,               0.000119,               0.000119,               0.000119
                     97,                0.91488,                0.43901,                 1.5189,                0.99616,                0.99774,                0.99455,                 0.7542,                0.92872,                 0.4015,                 1.5567,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.90834,                0.42666,                 1.5241,                0.99565,                0.99549,                0.99464,                0.75643,                0.92733,                0.39999,                  1.549,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.89775,                0.41839,                  1.502,                0.99609,                0.99549,                0.99468,                0.76821,                0.90375,                0.39109,                  1.525,               5.96e-05,               5.96e-05,               5.96e-05
