                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     44,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     45,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     46,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     47,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     48,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     49,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     50,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     51,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     52,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     53,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     54,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     55,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
